epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4658,2.9568,4.68451,1.74535,0.01293,0.07963,0.02823,0.01983,2.13149,inf,1.20082,0.000190974,0.000190974,0.000190974
2,26.603,2.17118,4.05213,1.21654,0.04194,0.13862,0.09004,0.04812,2.11178,inf,1.14889,0.000383143,0.000383143,0.000383143
3,32.3489,2.14719,3.37813,1.15502,0.70643,0.09786,0.12809,0.07952,2.10896,2.87274,1.15564,0.000571431,0.000571431,0.000571431
4,38.1253,2.13504,2.76064,1.1369,0.77189,0.13331,0.1489,0.08754,1.96014,1.9535,1.11345,0.000570536,0.000570536,0.000570536
5,43.8681,2.07157,2.23739,1.11679,0.75463,0.14857,0.16347,0.10077,1.85903,1.75047,1.1069,0.000564715,0.000564715,0.000564715
6,49.8689,1.98226,1.93036,1.10758,0.66405,0.15852,0.16822,0.10332,1.81972,1.61325,1.08499,0.000558894,0.000558894,0.000558894
7,55.5972,1.90622,1.72629,1.08638,0.58637,0.17549,0.18963,0.12093,1.7238,1.46387,1.05502,0.000553073,0.000553073,0.000553073
8,61.3118,1.87348,1.61797,1.07323,0.38649,0.2062,0.19258,0.12153,1.66716,1.3866,1.05359,0.000547252,0.000547252,0.000547252
9,67.2358,1.78778,1.5093,1.06168,0.18634,0.23863,0.20769,0.13839,1.63686,1.31272,1.04158,0.00054143,0.00054143,0.00054143
10,72.7814,1.72382,1.42564,1.05298,0.5125,0.18648,0.19687,0.126,1.68601,1.31212,1.05091,0.000535609,0.000535609,0.000535609
11,78.7039,1.71069,1.37826,1.04718,0.42067,0.21659,0.20124,0.12938,1.56352,1.29214,1.03914,0.000529788,0.000529788,0.000529788
12,84.5448,1.64817,1.3132,1.03799,0.40934,0.21808,0.21006,0.13806,1.48203,1.19008,1.01638,0.000523967,0.000523967,0.000523967
13,90.1276,1.59023,1.25268,1.02918,0.39329,0.23298,0.20955,0.1333,1.48338,1.16939,1.01583,0.000518146,0.000518146,0.000518146
14,95.7847,1.55913,1.20923,1.02021,0.31571,0.21216,0.21234,0.13875,1.39911,1.09526,1.00821,0.000512324,0.000512324,0.000512324
15,101.568,1.54592,1.17223,1.02032,0.30113,0.22065,0.21706,0.1428,1.4357,1.10397,1.01204,0.000506503,0.000506503,0.000506503
16,107.377,1.5297,1.15314,1.0149,0.43747,0.20569,0.21557,0.13894,1.40861,1.07196,1.00122,0.000500682,0.000500682,0.000500682
17,112.819,1.48727,1.12231,1.00792,0.3243,0.22504,0.2181,0.14347,1.35531,1.02682,0.9946,0.000494861,0.000494861,0.000494861
18,118.417,1.45491,1.09567,1.00224,0.42542,0.2178,0.22912,0.15072,1.34694,1.00451,0.99277,0.00048904,0.00048904,0.00048904
19,124.026,1.45502,1.07872,0.99296,0.4393,0.23007,0.22651,0.1491,1.33204,1.00846,0.98518,0.000483218,0.000483218,0.000483218
20,129.487,1.42388,1.06621,0.99663,0.30784,0.25455,0.22922,0.15293,1.31607,1.01143,0.98044,0.000477397,0.000477397,0.000477397
21,135.273,1.41784,1.04457,0.98886,0.32361,0.2637,0.23825,0.1567,1.34326,0.97883,0.98429,0.000471576,0.000471576,0.000471576
22,141.079,1.45439,1.06602,0.99036,0.26096,0.26065,0.25056,0.17036,1.29295,0.96442,0.97099,0.000465755,0.000465755,0.000465755
23,146.759,1.41999,1.04849,0.98414,0.38793,0.27166,0.25925,0.17349,1.30614,0.9628,0.97938,0.000459934,0.000459934,0.000459934
24,152.386,1.39994,1.03167,0.98713,0.22957,0.25866,0.24144,0.15825,1.32569,0.99234,0.97492,0.000454112,0.000454112,0.000454112
25,158.011,1.39927,1.02935,0.98254,0.38454,0.26741,0.2489,0.16198,1.32436,0.97491,0.97873,0.000448291,0.000448291,0.000448291
26,163.579,1.36791,1.01662,0.97949,0.44845,0.25848,0.2555,0.17024,1.26929,0.94804,0.96888,0.00044247,0.00044247,0.00044247
27,169.385,1.36703,0.99468,0.97335,0.2755,0.28537,0.2668,0.17789,1.25131,0.92889,0.96969,0.000436649,0.000436649,0.000436649
28,175.079,1.37635,1.00104,0.97691,0.29801,0.31456,0.29742,0.19564,1.2958,0.93325,0.97313,0.000430828,0.000430828,0.000430828
29,180.995,1.38217,0.98864,0.97689,0.49151,0.29659,0.29504,0.19643,1.25961,0.92151,0.96303,0.000425006,0.000425006,0.000425006
30,186.95,1.3518,0.98242,0.97064,0.36814,0.31218,0.33288,0.21979,1.21871,0.91823,0.96249,0.000419185,0.000419185,0.000419185
31,192.639,1.32887,0.96833,0.96964,0.30611,0.31472,0.30157,0.20492,1.215,0.91235,0.95696,0.000413364,0.000413364,0.000413364
32,198.378,1.3387,0.97803,0.97162,0.33386,0.33016,0.32205,0.21846,1.22027,0.90075,0.95613,0.000407543,0.000407543,0.000407543
33,203.766,1.29992,0.94879,0.96355,0.32294,0.31999,0.31619,0.2053,1.19461,0.89514,0.95192,0.000401722,0.000401722,0.000401722
34,209.531,1.30808,0.95248,0.96107,0.37706,0.34479,0.31224,0.20476,1.22874,0.90038,0.96188,0.0003959,0.0003959,0.0003959
35,215.141,1.28727,0.95118,0.9627,0.38105,0.31601,0.33354,0.20968,1.20006,0.8954,0.95118,0.000390079,0.000390079,0.000390079
36,220.623,1.31538,0.95516,0.96652,0.4296,0.34311,0.35459,0.2287,1.19711,0.89125,0.95059,0.000384258,0.000384258,0.000384258
37,226.64,1.28297,0.94219,0.96266,0.40803,0.33512,0.33874,0.21756,1.19061,0.89589,0.94483,0.000378437,0.000378437,0.000378437
38,232.275,1.29981,0.94122,0.95989,0.43381,0.33529,0.34302,0.22505,1.24487,0.89802,0.95758,0.000372616,0.000372616,0.000372616
39,237.793,1.29195,0.93471,0.95428,0.40379,0.3414,0.34687,0.23233,1.18085,0.87132,0.9434,0.000366794,0.000366794,0.000366794
40,243.942,1.27577,0.92724,0.95458,0.47345,0.34724,0.34916,0.22151,1.19224,0.87577,0.95041,0.000360973,0.000360973,0.000360973
41,249.639,1.29685,0.94616,0.95818,0.43335,0.35103,0.34268,0.22197,1.15609,0.87694,0.94382,0.000355152,0.000355152,0.000355152
42,255.189,1.29093,0.93084,0.95487,0.45062,0.30931,0.34626,0.22729,1.17513,0.89831,0.94228,0.000349331,0.000349331,0.000349331
43,260.758,1.27283,0.9217,0.95897,0.39247,0.33453,0.35094,0.23115,1.15523,0.88029,0.94218,0.00034351,0.00034351,0.00034351
44,266.487,1.24301,0.89962,0.95022,0.42741,0.34502,0.34439,0.23283,1.16894,0.86032,0.94269,0.000337688,0.000337688,0.000337688
45,272.37,1.25381,0.90432,0.95002,0.40002,0.35236,0.33478,0.22179,1.18369,0.87252,0.94668,0.000331867,0.000331867,0.000331867
46,277.706,1.25722,0.90533,0.94987,0.44986,0.35601,0.34857,0.21964,1.22114,0.90129,0.94994,0.000326046,0.000326046,0.000326046
47,283.485,1.26577,0.91292,0.95306,0.39924,0.33769,0.34735,0.22404,1.16411,0.86753,0.94692,0.000320225,0.000320225,0.000320225
48,289.093,1.25248,0.89756,0.94784,0.43998,0.35505,0.36145,0.23282,1.16368,0.85632,0.93927,0.000314404,0.000314404,0.000314404
49,294.876,1.24906,0.89634,0.94962,0.4217,0.36131,0.37118,0.24302,1.15112,0.84503,0.94352,0.000308582,0.000308582,0.000308582
50,300.734,1.25117,0.90618,0.94991,0.42859,0.37147,0.37561,0.24885,1.14886,0.84678,0.93783,0.000302761,0.000302761,0.000302761
51,306.532,1.23231,0.88895,0.9474,0.43593,0.37204,0.36599,0.23892,1.16166,0.86854,0.9445,0.00029694,0.00029694,0.00029694
52,312.123,1.24127,0.88898,0.94638,0.50068,0.36477,0.38791,0.25801,1.13135,0.84799,0.93733,0.000291119,0.000291119,0.000291119
53,317.811,1.24662,0.89268,0.94637,0.46637,0.36551,0.39339,0.26129,1.13257,0.84644,0.93235,0.000285298,0.000285298,0.000285298
54,323.494,1.24091,0.88975,0.94337,0.47028,0.37301,0.38575,0.25773,1.15813,0.83951,0.93566,0.000279476,0.000279476,0.000279476
55,329.307,1.23661,0.89501,0.94758,0.49358,0.35375,0.39042,0.25574,1.13654,0.84829,0.93485,0.000273655,0.000273655,0.000273655
56,335.063,1.2247,0.87928,0.94127,0.48605,0.3641,0.38484,0.25723,1.1003,0.83463,0.93256,0.000267834,0.000267834,0.000267834
57,340.876,1.23899,0.88373,0.94043,0.40134,0.38734,0.3721,0.23865,1.12196,0.84271,0.93392,0.000262013,0.000262013,0.000262013
58,346.565,1.22092,0.88651,0.93991,0.52615,0.35086,0.37357,0.24682,1.11009,0.84983,0.93022,0.000256192,0.000256192,0.000256192
59,352.261,1.21036,0.87309,0.93622,0.45181,0.37878,0.39941,0.25903,1.11793,0.85099,0.93091,0.00025037,0.00025037,0.00025037
60,357.959,1.21098,0.87242,0.93615,0.42896,0.38925,0.3737,0.24508,1.09737,0.82706,0.92713,0.000244549,0.000244549,0.000244549
61,363.411,1.21595,0.87936,0.94112,0.43328,0.39172,0.39462,0.26044,1.11264,0.82177,0.93185,0.000238728,0.000238728,0.000238728
62,368.919,1.20364,0.87073,0.93617,0.42953,0.37899,0.38341,0.25241,1.10155,0.82366,0.93101,0.000232907,0.000232907,0.000232907
63,374.377,1.19264,0.86644,0.93757,0.43925,0.38684,0.3767,0.2495,1.10381,0.82742,0.93323,0.000227086,0.000227086,0.000227086
64,380.125,1.20309,0.86093,0.93678,0.42553,0.38396,0.39769,0.26002,1.08898,0.82856,0.92778,0.000221264,0.000221264,0.000221264
65,385.926,1.21709,0.87056,0.94017,0.45896,0.3857,0.37459,0.24526,1.11072,0.83233,0.92904,0.000215443,0.000215443,0.000215443
66,391.495,1.19315,0.86312,0.93375,0.47202,0.38375,0.39407,0.26259,1.092,0.8204,0.92793,0.000209622,0.000209622,0.000209622
67,397.443,1.19548,0.85415,0.93303,0.48711,0.35784,0.39984,0.2622,1.10152,0.82425,0.93447,0.000203801,0.000203801,0.000203801
68,403.28,1.19774,0.86608,0.93839,0.47566,0.38012,0.39718,0.26494,1.08656,0.82719,0.92911,0.00019798,0.00019798,0.00019798
69,409.179,1.19224,0.86295,0.93435,0.44369,0.38568,0.39041,0.2617,1.09,0.82824,0.92756,0.000192158,0.000192158,0.000192158
70,415.185,1.19875,0.85024,0.9326,0.45634,0.37922,0.39105,0.25926,1.0778,0.81921,0.92683,0.000186337,0.000186337,0.000186337
71,420.841,1.18379,0.84358,0.93043,0.45428,0.37444,0.38961,0.25849,1.08714,0.81798,0.92865,0.000180516,0.000180516,0.000180516
72,426.882,1.1928,0.85538,0.93311,0.48427,0.36726,0.39276,0.26038,1.07339,0.81525,0.92391,0.000174695,0.000174695,0.000174695
73,432.923,1.17598,0.84755,0.93153,0.48399,0.38492,0.40073,0.26762,1.08851,0.81716,0.92651,0.000168874,0.000168874,0.000168874
74,438.505,1.16459,0.83921,0.92837,0.47778,0.38367,0.38491,0.25235,1.08237,0.80757,0.9287,0.000163052,0.000163052,0.000163052
75,444.562,1.17599,0.84529,0.9309,0.43564,0.40722,0.4043,0.2734,1.07306,0.80881,0.92328,0.000157231,0.000157231,0.000157231
76,450.536,1.16107,0.8387,0.92622,0.45625,0.39292,0.39627,0.26409,1.09042,0.82684,0.92578,0.00015141,0.00015141,0.00015141
77,456.464,1.18183,0.84785,0.92913,0.45599,0.38434,0.40072,0.26809,1.08423,0.81014,0.92555,0.000145589,0.000145589,0.000145589
78,462.265,1.1734,0.84953,0.93167,0.4437,0.39641,0.39525,0.26461,1.08347,0.81337,0.92656,0.000139768,0.000139768,0.000139768
79,467.824,1.18043,0.84502,0.92989,0.5026,0.37589,0.4019,0.2713,1.07202,0.81333,0.92634,0.000133946,0.000133946,0.000133946
80,473.365,1.18143,0.84602,0.93065,0.46753,0.37441,0.39167,0.26582,1.07648,0.81129,0.92475,0.000128125,0.000128125,0.000128125
81,478.884,1.15897,0.83716,0.92987,0.45089,0.37652,0.39355,0.26677,1.06723,0.80455,0.92212,0.000122304,0.000122304,0.000122304
82,484.418,1.17221,0.84324,0.93085,0.44512,0.38499,0.40311,0.27355,1.08144,0.81321,0.92379,0.000116483,0.000116483,0.000116483
83,490.256,1.15848,0.83917,0.92838,0.4655,0.37857,0.3919,0.26386,1.07706,0.81297,0.92687,0.000110662,0.000110662,0.000110662
84,496.297,1.17032,0.8406,0.92871,0.45936,0.39298,0.39469,0.26353,1.0698,0.80347,0.92574,0.00010484,0.00010484,0.00010484
85,502.529,1.16192,0.82847,0.92837,0.43547,0.40122,0.40148,0.26962,1.07197,0.8088,0.92632,9.90192e-05,9.90192e-05,9.90192e-05
86,508.071,1.14979,0.82397,0.92588,0.44281,0.3976,0.39348,0.26211,1.05869,0.80157,0.92221,9.3198e-05,9.3198e-05,9.3198e-05
87,513.757,1.14967,0.83456,0.9308,0.4539,0.39322,0.39521,0.27038,1.06713,0.80777,0.9229,8.73768e-05,8.73768e-05,8.73768e-05
88,519.701,1.15768,0.83305,0.93165,0.46284,0.38697,0.4105,0.27665,1.0587,0.79856,0.92165,8.15556e-05,8.15556e-05,8.15556e-05
89,525.775,1.13715,0.82655,0.92519,0.39982,0.42976,0.40759,0.27869,1.05095,0.80251,0.92215,7.57344e-05,7.57344e-05,7.57344e-05
90,531.877,1.17319,0.83728,0.92939,0.44956,0.39489,0.40469,0.27354,1.058,0.80116,0.92335,6.99132e-05,6.99132e-05,6.99132e-05
91,541.749,1.16015,0.97706,0.9376,0.52071,0.33691,0.38905,0.25674,1.07632,0.8567,0.92785,6.4092e-05,6.4092e-05,6.4092e-05
92,546.688,1.12359,0.88086,0.93313,0.4382,0.38193,0.38077,0.25066,1.05408,0.84688,0.92132,5.82708e-05,5.82708e-05,5.82708e-05
93,551.381,1.10662,0.86221,0.92763,0.45688,0.36613,0.37863,0.25259,1.07731,0.85636,0.91953,5.24496e-05,5.24496e-05,5.24496e-05
94,556.24,1.09766,0.85017,0.93029,0.4682,0.37713,0.39298,0.26745,1.05822,0.82999,0.92036,4.66284e-05,4.66284e-05,4.66284e-05
95,560.974,1.09131,0.84719,0.92456,0.46656,0.38155,0.40559,0.27634,1.05566,0.81869,0.91817,4.08072e-05,4.08072e-05,4.08072e-05
96,565.588,1.09927,0.84781,0.92752,0.46258,0.39141,0.39993,0.27045,1.06482,0.82831,0.9199,3.4986e-05,3.4986e-05,3.4986e-05
97,570.224,1.09143,0.83617,0.9242,0.44498,0.39446,0.4049,0.27419,1.05326,0.82451,0.91784,2.91648e-05,2.91648e-05,2.91648e-05
98,574.81,1.07797,0.83559,0.92545,0.48289,0.37936,0.40853,0.27826,1.04268,0.8163,0.91736,2.33436e-05,2.33436e-05,2.33436e-05
99,579.667,1.08805,0.83432,0.92457,0.49241,0.37825,0.40988,0.27827,1.04866,0.81784,0.91715,1.75224e-05,1.75224e-05,1.75224e-05
100,584.729,1.09438,0.83432,0.92498,0.4871,0.38035,0.4115,0.27999,1.04434,0.81716,0.91693,1.17012e-05,1.17012e-05,1.17012e-05
